Dte.;Barris;2011;2010;2009;2008;2007;;;
1;1. el Raval;1.866;1.700;1.192;1.721;2.183;;;
1;2. el Barri Gòtic;910;670;458;581;828;;;
1;3. la Barceloneta;434;355;331;276;416;;;
1;4. Sant Pere, Santa Caterina i la Ribera;1.063;912;748;1.018;1.330;;;
2;5. el Fort Pienc;1.159;801;637;765;905;;;
2;6. la Sagrada Família;2.149;1.480;1.191;1.752;2.294;;;
2;7. la Dreta de l'Eixample;2.065;1.192;801;832;901;;;
2;8. l'Antiga Esquerra de l'Eixample;1.503;1.278;842;955;813;;;
2;9. la Nova Esquerra de l'Eixample;2.346;1.701;1.167;1.502;1.224;;;
2;10. Sant Antoni;1.202;869;731;851;1.172;;;
3;11. el Poble Sec - Parc Montjuïc;1.411;1.198;1.050;1.621;1.911;;;
3;12. la Marina del Prat Vermell - Zona Franca;--;--;--;--;--;;;
3;13. la Marina de Port;795;624;441;525;608;;;
3;14. la Font de la Guatlla;376;247;214;324;310;;;
3;15. Hostafrancs;611;500;406;512;428;;;
3;16. la Bordeta;566;440;282;427;403;;;
3;17. Sants - Badal;948;712;502;677;667;;;
3;18. Sants;1.407;1.040;641;953;1.019;;;
4;19. les Corts;1.648;1.213;943;970;1.146;;;
4;20. la Maternitat i Sant Ramon;1.098;677;503;503;507;;;
4;21. Pedralbes;654;406;173;122;61;;;
5;22. Vallvidrera, el Tibidabo i les Planes;255;184;150;203;100;;;
5;23. Sarrià;715;604;411;280;165;;;
5;24. les Tres Torres;657;519;271;212;112;;;
5;25. Sant Gervasi - la Bonanova;934;801;560;628;322;;;
5;26. Sant Gervasi - Galvany;2.349;1.814;1.166;961;620;;;
5;27. el Putxet i el Farró;1.328;971;745;842;632;;;
6;28. Vallcarca i els Penitents;583;385;263;325;226;;;
6;29. el Coll;431;280;296;245;198;;;
6;30. la Salut;552;279;291;375;298;;;
6;31. la Vila de Gràcia;1.795;1.442;1.110;1.261;1.143;;;
6;32. el Camp d'en Grassot i Gràcia Nova;1.090;724;563;755;714;;;
7;33. el Baix Guinardó;1.098;703;404;597;552;;;
7;34. Can Baró;363;354;277;357;334;;;
7;35. el Guinardó;1.409;1.027;819;1.086;965;;;
7;36. la Font d'en Fargues;376;192;157;288;271;;;
7;37. el Carmel;1.020;913;834;896;987;;;
7;38. la Teixonera;362;394;291;339;318;;;
7;39. Sant Genís dels Agudells;164;106;77;58;84;;;
7;40. Montbau;107;86;74;96;109;;;
7;41. la Vall d'Hebron;92;38;64;104;78;;;
7;42. la Clota;--;--;--;--;--;;;
7;43. Horta;680;515;405;525;472;;;
8;44. Vilapicina i la Torre Llobeta;561;417;352;601;539;;;
8;45. Porta;518;423;289;382;380;;;
8;46. el Turó de la Peira;282;226;225;294;295;;;
8;47. Can Peguera;--;--;--;--;--;;;
8;48. la Guineueta;169;190;137;147;158;;;
8;49. Canyelles;81;74;56;78;75;;;
8;50. les Roquetes;558;418;294;463;491;;;
8;51. Verdun;276;270;234;286;268;;;
8;52. la Prosperitat;708;599;439;636;734;;;
8;53. la Trinitat Nova;174;156;112;203;210;;;
8;54. Torre Baró;40;21;17;29;16;;;
8;55. Ciutat Meridiana;445;291;170;231;410;;;
8;56. Vallbona;--;--;--;--;--;;;
9;57. la Trinitat Vella;480;433;253;365;495;;;
9;58. Baró de Viver;22;15;18;15;9;;;
9;59. el Bon Pastor;307;294;171;353;438;;;
9;60. Sant Andreu;1.499;1.321;1.023;1.624;1.878;;;
9;61. la Sagrera;638;613;448;741;874;;;
9;62. el Congrés i els Indians;477;348;303;476;472;;;
9;63. Navas;550;431;400;488;423;;;
10;64. el Camp de l'Arpa del Clot;1.394;1.073;824;1.181;1.167;;;
10;65. el Clot;804;696;510;605;673;;;
10;66. el Parc i la Llacuna del Poblenou;441;321;287;343;332;;;
10;67. la Vila Olímpica del Poblenou;270;139;112;126;84;;;
10;68. el Poblenou;1.290;1.002;859;1.153;1.415;;;
10;69. Diagonal Mar i el Front Marítim del Poblenou;493;408;341;304;257;;;
10;70. el Besòs i el Maresme;673;561;497;639;788;;;
10;71. Provençals del Poblenou;499;539;431;440;353;;;
10;72. Sant Martí de Provençals;513;466;309;490;595;;;
10;73. la Verneda i la Pau;571;531;435;637;682;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
