DTE;BARRIS;TOTAL;TOTSESPANYOLS;TOTSESTRANGERS;LLARSMIXTES
;;;;;
;;657567;534084;56064;67419
;;;;;
1;1. el Raval;17000;8892;4423;3685
1;2. el Barri Gòtic;6638;3665;1800;1173
1;3. la Barceloneta;6881;4498;1470;913
1;4. Sant Pere, Santa Caterina i la Ribera;10021;5747;2581;1693
2;5. el Fort Pienc;12978;10116;1368;1494
2;6. la Sagrada Família;22019;17651;1912;2456
2;7. la Dreta de l Eixample;18518;13919;2350;2249
2;8. l Antiga Esquerra de l Eixample;18282;13978;2112;2192
2;9. la Nova Esquerra de l Eixample;24561;19799;2163;2599
2;10. Sant Antoni;16459;12837;1603;2019
3;11. el Poble Sec - Parc Montjuïc;16092;11218;2309;2565
3;12. la Marina del Prat Vermell - Zona Franca;447;398;18;31
3;13. la Marina de Port;11784;10085;650;1049
3;14. la Font de la Guatlla;4335;3434;410;491
3;15. Hostafrancs;6579;5091;692;796
3;16. la Bordeta;7505;6419;419;667
3;17. Sants - Badal;10012;8285;714;1013
3;18. Sants;17307;14117;1306;1884
4;19. les Corts;19039;16491;1092;1456
4;20. la Maternitat i Sant Ramon;9609;8332;503;774
4;21. Pedralbes;4224;3419;408;397
5;22. Vallvidrera, el Tibidabo i les Planes;1568;1251;121;196
5;23. Sarrià;8879;7368;676;835
5;24. les Tres Torres;5570;4764;299;507
5;25. Sant Gervasi - la Bonanova;9336;7879;576;881
5;26. Sant Gervasi - Galvany;18498;15430;1287;1781
5;27. el Putxet i el Farró;12148;9973;996;1179
6;28. Vallcarca i els Penitents;6452;5404;446;602
6;29. el Coll;3045;2510;222;313
6;30. la Salut;5435;4574;360;501
6;31. la Vila de Gràcia;22939;17636;2669;2634
6;32. el Camp d en Grassot i Gràcia Nova;14795;12483;1003;1309
7;33. el Baix Guinardó;10854;9193;687;974
7;34. Can Baró;3757;3180;261;316
7;35. el Guinardó;15109;12821;870;1418
7;36. la Font d en Fargues;3692;3406;90;196
7;37. el Carmel;12793;11018;711;1064
7;38. la Teixonera;4729;4063;265;401
7;39. Sant Genís dels Agudells;2859;2479;144;236
7;40. Montbau;2109;1861;95;153
7;41. la Vall d Hebron;2187;1961;86;140
7;42. la Clota;226;193;15;18
7;43. Horta;10722;9626;406;690
8;44. Vilapicina i la Torre Llobeta;10442;9088;471;883
8;45. Porta;10175;8791;509;875
8;46. el Turó de la Peira;6189;4965;426;798
8;47. Can Peguera;933;845;20;68
8;48. la Guineueta;6178;5698;135;345
8;49. Canyelles;2810;2653;48;109
8;50. les Roquetes;5869;4726;509;634
8;51. Verdun;5056;4265;321;470
8;52. la Prosperitat;10720;9351;548;821
8;53. la Trinitat Nova;2925;2446;204;275
8;54. Torre Baró;894;716;63;115
8;55. Ciutat Meridiana;3588;2610;430;548
8;56. Vallbona;473;395;29;49
9;57. la Trinitat Vella;3506;2512;470;524
9;58. Baró de Viver;963;847;37;79
9;59. el Bon Pastor;4656;4012;270;374
9;60. Sant Andreu;23359;21337;637;1385
9;61. la Sagrera;11690;10116;513;1061
9;62. el Congrés i els Indians;5919;5120;290;509
9;63. Navas;8957;7671;487;799
10;64. el Camp de l Arpa del Clot;16289;13508;1152;1629
10;65. el Clot;10803;9148;699;956
10;66. el Parc i la Llacuna del Poblenou;6087;4813;630;644
10;67. la Vila Olímpica del Poblenou;3548;2698;419;431
10;68. el Poblenou;13551;10800;1292;1459
10;69. Diagonal Mar i el Front Marítim del Poblenou;5438;4294;578;566
10;70. el Besòs i el Maresme;8403;6646;866;891
10;71. Provençals del Poblenou;8054;6863;532;659
10;72. Sant Martí de Provençals;10623;9429;453;741
10;73. la Verneda i la Pau;11476;10256;438;782
;No consta;1;1;0;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
